Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13278990,The Housing Monster,prole.info,"prole.info, prole.info",,"=""160486530X""","=""9781604865301""",0,3.77,PM Press,Paperback,160,2012,2011,,2017/12/07,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,"=""0141185260""","=""9780141185262""",0,4.19,Penguin Books Ltd,Paperback,246,2000,1962,,2013/10/09,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
34220725,Never Use Futura,Doug Thomas,"Thomas, Doug",Ellen Lupton,"=""1616895721""","=""9781616895723""",4,4.29,Princeton Architectural Press,Paperback,208,2017,,,2017/11/12,,,read,"Pretty good! It's halfway between a coffee-table book and a book you'd want to read-through. I did the latter, and, well, it isn't a masterpiece in terms of writing - lacks continuity, often uses lingo without definition - but it makes up for that with the gorgeous typesetting and examples.",,,1,,,0,,,,,
34913288,"The Three Pillar Model for Business Decisions: Strategy, Law and Ethics",George Siedel,"Siedel, George",,"=""""","=""""",4,3.00,"Van Rye Publishing, LLC",Kindle Edition,253,2017,,2017/11/12,2017/07/09,,,read,"The bad: like the other business / sales books I've read, it spends almost half of its pages just telling you how good the book is. It reassures you that, yep, this will increase your sales, just as it did for Bill and Barbara.<br/><br/>The good: this is like looking though the eyes of The Corporation. The book will give you their take on why car companies shouldn't invest too much in seatbelts, why arbitration clauses are good, how you must avoid giving the impression of firing-with-cause, and so on. Not that you'll agree with (or should agree with) any of that, but, well, it's interesting to hear those points so clearly made.",,,1,,,0,,,,,
11275062,Nixonland: The Rise of a President and the Fracturing of America,Rick Perlstein,"Perlstein, Rick",,"=""1451606265""","=""9781451606263""",5,4.12,Scribner,ebook,896,2010,2008,2017/11/11,2017/10/01,,,read,,,,1,,,0,,,,,
27162486,The Banjo: America's African Instrument,Laurent Dubois,"Dubois, Laurent",,"=""0674047842""","=""9780674047846""",5,4.39,Belknap Press: An Imprint of Harvard University Press,Hardcover,384,2016,2016,,2017/11/07,,,read,,,,1,,,0,,,,,
8219235,Grounding for the Metaphysics of Morals/On a Supposed Right to Lie Because of Philanthropic Concerns,Immanuel Kant,"Kant, Immanuel",,"=""1452841098""","=""9781452841090""",5,3.80,Createspace,Paperback,94,2010,1785,,2010/05/23,,,read,,,,1,,,0,,,,,
1407132,Hinduism,Louis Renou,"Renou, Louis",,"=""0671478710""","=""9780671478711""",2,3.09,Pocket Books,Mass Market Paperback,,1971,1951,,2007/07/03,,,read,"A fast read, but it included too much biased language & opinionated writing.",,,1,,,0,,,,,
29548767,Time Travel: A History,James Gleick,"Gleick, James",,"=""""","=""""",2,3.58,Pantheon,Kindle Edition,352,2016,2016,2017/06/23,2017/05/31,,,read,"Gleick's 'Time Travel' includes one scene with a physicist rolling his eyes wearily, explaining that, yes, time travel is possible in the case of black holes, but that he would rather not talk about it. Unfortunately I felt like that guy when I was reading this book.<br/><br/>There are only so many times I can read that time is like 'a river', or read a paragraph-length biography of someone's life in order to support their two sentences of historical contribution. The historical viewpoint, too, gives the story a sort of interrupted flow. Sure, it makes a lot of sense to 'start from the beginning' but I wish that the physical approaches (time as a field, as a measure of entropy, as relative or absolute) were enumerated rather than unveiled one by one, deep in mostly unnecessary context.<br/><br/>This might sound like a review written by some guy who heard about time travel and wants a time machine as soon as possible, with as little interference as possible. And maybe I've worn out my nonfiction reading ability by overdosing on these mile-deep scientific/literary history books. But anyway, Time Travel seemed, well, like a lackluster use of my time, a book that tried to be too much in and of itself and that never really developed into anything or built on itself, perhaps like our thinking about time travel itself. ",,,1,,,0,,,,,
31416132,The Complacent Class: The Self-Defeating Quest for the American Dream,Tyler Cowen,"Cowen, Tyler",,"=""""","=""""",5,3.64,St. Martin's Press,Kindle Edition,256,2017,,,2017/05/11,,,read,,,,1,,,0,,,,,
